nr;zawodnika;czas;start;czas;stop;kraj
FIN001;09:00:00;11:30:03;FIN
GER002;09:00:30;11:41:48;GER
POL003;09:01:00;11:58:05;POL
GBR004;09:01:30;11:46:27;GBR
FIN005;09:02:00;12:00:13;FIN
POL006;09:02:30;12:01:40;POL
ARE007;09:03:00;11:37:16;ARE
ZWE008;09:03:30;11:45:28;ZWE
ITA009;09:04:00;DNF;ITA
UKR010;09:04:30;12:00:59;UKR
TUR011;09:05:00;11:21:15;TUR
SWE012;09:05:30;11:27:20;SWE
CHE013;09:06:00;11:45:15;CHE
SYR014;09:06:30;11:45:52;SYR
NOR015;09:07:00;11:35:07;NOR
LTU016;09:07:30;11:21:54;LTU
FRA017;09:08:00;11:15:43;FRA
DNK018;09:08:30;11:26:26;DNK
CZE019;09:09:00;11:15:34;CZE
AUS020;09:09:30;11:23:15;AUS
TUR021;09:10:00;11:36:04;TUR
SWE022;09:10:30;11:23:12;SWE
CHE023;09:11:00;11:26:22;CHE
SYR024;09:11:30;11:54:00;SYR
FRA025;09:12:00;11:26:31;FRA
POL026;09:12:30;12:11:50;POL
FIN027;09:13:00;11:57:23;FIN
GER028;09:13:30;12:02:25;GER
DNK029;09:14:00;11:49:32;DNK
TUR030;09:14:30;11:40:51;TUR
SWE031;09:15:00;11:19:44;SWE
ITA032;09:15:30;12:03:46;ITA
LTU033;09:16:00;11:33:14;LTU
UKR034;09:16:30;12:01:18;UKR
ZWE035;09:17:00;12:03:33;ZWE
ARE036;09:17:30;12:16:33;ARE
ZWE037;09:18:00;12:04:27;ZWE
ARE038;09:18:30;11:56:35;ARE
GBR039;09:19:00;11:41:05;GBR
USA040;09:19:30;11:54:25;USA
USA041;09:20:00;11:26:22;USA
ITA042;09:20:30;11:33:40;ITA
POL043;09:21:00;11:45:09;POL
LTU044;09:21:30;11:47:05;LTU
UKR045;09:22:00;12:13:04;UKR
AUS046;09:22:30;11:39:45;AUS
SWE047;09:23:00;11:52:55;SWE
CHE048;09:23:30;11:38:58;CHE
NOR049;09:24:00;11:32:38;NOR
POL050;09:24:30;11:32:06;POL
LTU051;09:25:00;12:08:52;LTU
ARE052;09:25:30;11:54:10;ARE
ZWE053;09:26:00;11:35:38;ZWE
AUS054;09:26:30;11:50:21;AUS
ITA055;09:27:00;12:22:15;ITA
CHE056;09:27:30;12:02:40;CHE
SWE057;09:28:00;12:14:11;SWE
NOR058;09:28:30;12:10:13;NOR
FIN059;09:29:00;11:50:42;FIN
CZE060;09:29:30;12:21:04;CZE
CZE061;09:30:00;11:34:37;CZE
FRA062;09:30:30;11:45:57;FRA
GBR063;09:31:00;12:17:06;GBR
GER064;09:31:30;11:56:10;GER
USA065;09:32:00;12:03:51;USA
CZE066;09:32:30;11:37:55;CZE
LTU067;09:33:00;12:29:55;LTU
POL068;09:33:30;11:36:39;POL
SYR069;09:34:00;12:26:18;SYR
CHE070;09:34:30;12:17:25;CHE
USA071;09:35:00;11:47:45;USA
ITA072;09:35:30;12:25:09;ITA
POL073;09:36:00;11:41:12;POL
CHE074;09:36:30;12:04:00;CHE
SYR075;09:37:00;11:55:39;SYR
DNK076;09:37:30;12:11:02;DNK
AUS077;09:38:00;11:55:42;AUS
FRA078;09:38:30;11:44:24;FRA
GER079;09:39:00;12:18:19;GER
GBR080;09:39:30;DNF;GBR
NOR081;09:40:00;12:13:17;NOR
UKR082;09:40:30;11:48:14;UKR
TUR083;09:41:00;12:10:53;TUR
DNK084;09:41:30;12:32:13;DNK
CZE085;09:42:00;12:23:30;CZE
ARE086;09:42:30;12:32:56;ARE
USA087;09:43:00;11:51:21;USA
AUS088;09:43:30;11:55:45;AUS
DNK089;09:44:00;11:53:41;DNK
FRA090;09:44:30;DNF;FRA
FIN091;09:45:00;12:03:10;FIN
GBR092;09:45:30;12:42:36;GBR
NOR093;09:46:00;12:39:52;NOR
SYR094;09:46:30;12:21:53;SYR
TUR095;09:47:00;11:58:11;TUR
FRA096;09:47:30;12:39:01;FRA
UKR097;09:48:00;12:09:57;UKR
USA098;09:48:30;12:24:17;USA
POL099;09:49:00;12:41:55;POL
GER100;09:49:30;11:59:05;GER
ARE101;09:50:00;12:45:28;ARE
FRA102;09:50:30;12:47:54;FRA
GER103;09:51:00;DNF;GER
TUR104;09:51:30;12:16:13;TUR
UKR105;09:52:00;12:41:54;UKR
ZWE106;09:52:30;12:34:24;ZWE
FIN107;09:53:00;DNF;FIN
USA108;09:53:30;12:29:57;USA
TUR109;09:54:00;12:24:23;TUR
CZE110;09:54:30;12:08:48;CZE
FRA111;09:55:00;12:04:48;FRA
GBR112;09:55:30;12:14:59;GBR
TUR113;09:56:00;12:30:15;TUR
USA114;09:56:30;12:36:56;USA
GBR115;09:57:00;12:26:21;GBR
FIN116;09:57:30;12:49:20;FIN
GBR117;09:58:00;12:19:29;GBR
SYR118;09:58:30;12:06:15;SYR
FRA119;09:59:00;12:17:22;FRA
GBR120;09:59:30;12:25:47;GBR
NOR121;10:00:00;12:42:19;NOR
GER122;10:00:30;DNF;GER
FIN123;10:01:00;12:45:58;FIN
GBR124;10:01:30;12:14:10;GBR
FRA125;10:02:00;12:28:38;FRA
TUR126;10:02:30;12:37:22;TUR
