2022-01-01;buk;1;17
2022-01-01;akacja;2;53
2022-01-02;akacja;2;16
2022-01-02;buk;1;50
2022-01-02;sosna;2;41
2022-01-02;akacja;1;10
2022-01-08;sosna;2;19
2022-01-08;sosna;1;41
2022-01-08;akacja;1;9
2022-01-08;buk;1;7
2022-01-09;buk;1;64
2022-01-09;sosna;2;37
2022-01-09;akacja;1;9
2022-01-15;sosna;1;63
2022-01-15;buk;2;66
2022-01-16;akacja;2;54
2022-01-16;sosna;1;47
2022-01-16;akacja;1;38
2022-01-22;akacja;2;4
2022-01-23;buk;2;56
2022-01-23;sosna;2;29
2022-01-23;sosna;1;23
2022-01-23;buk;1;52
2022-01-29;akacja;1;35
2022-01-29;sosna;2;6
2022-01-30;sosna;2;63
2022-02-05;sosna;1;30
2022-02-06;akacja;1;5
2022-02-06;buk;2;15
2022-02-06;sosna;1;54
2022-02-06;akacja;2;16
2022-02-12;akacja;1;60
2022-02-13;buk;1;56
2022-02-13;sosna;1;28
2022-02-19;sosna;2;29
2022-02-20;sosna;2;8
2022-02-20;akacja;2;38
2022-02-20;buk;1;46
2022-02-20;buk;2;38
2022-02-26;buk;1;60
2022-02-26;sosna;2;18
2022-02-27;akacja;2;20
2022-02-27;sosna;1;28
2022-02-27;akacja;1;22
2022-02-27;buk;2;46
2022-03-05;buk;1;61
2022-03-06;akacja;1;67
2022-03-12;sosna;2;14
2022-03-12;buk;1;67
2022-03-13;buk;2;22
2022-03-19;buk;1;50
2022-03-19;sosna;2;68
2022-03-20;akacja;1;39
2022-03-20;sosna;1;63
2022-03-20;akacja;2;31
2022-03-26;akacja;1;62
2022-03-26;akacja;2;19
2022-03-27;sosna;2;6
2022-03-27;akacja;2;58
2022-04-02;akacja;2;60
2022-04-02;akacja;1;34
2022-04-02;sosna;1;32
2022-04-03;sosna;2;26
2022-04-03;akacja;2;62
2022-04-03;akacja;1;48
2022-04-03;sosna;1;54
2022-04-09;akacja;1;36
2022-04-09;sosna;2;59
2022-04-10;sosna;2;48
2022-04-10;buk;2;23
2022-04-10;akacja;1;57
2022-04-10;akacja;2;29
2022-04-16;sosna;1;59
2022-04-17;akacja;2;49
2022-04-17;buk;1;50
2022-04-23;buk;2;5
2022-04-24;sosna;1;60
2022-04-24;sosna;2;26
2022-04-24;akacja;1;4
2022-04-30;sosna;2;7
2022-04-30;buk;2;21
2022-05-01;buk;1;16
2022-05-01;akacja;1;24
2022-05-01;akacja;2;63
2022-05-01;buk;2;30
2022-05-07;akacja;2;22
2022-05-07;sosna;2;30
2022-05-07;buk;1;57
2022-05-08;sosna;2;68
2022-05-08;buk;2;36
2022-05-14;akacja;1;24
2022-05-14;buk;2;55
2022-05-14;sosna;2;13
2022-05-14;buk;1;53
2022-05-15;buk;1;36
2022-05-21;sosna;1;48
2022-05-22;buk;1;51
2022-05-22;sosna;1;54
2022-05-22;buk;2;16
2022-05-22;akacja;1;37
2022-05-28;akacja;1;11
2022-05-28;buk;2;13
2022-05-28;buk;1;44
2022-05-29;sosna;2;54
2022-05-29;akacja;2;16
2022-05-29;sosna;1;5
2022-06-04;sosna;1;59
2022-06-04;buk;2;39
2022-06-04;buk;1;43
2022-06-05;buk;2;56
2022-06-05;akacja;1;20
2022-06-05;sosna;2;49
2022-06-05;akacja;2;38
2022-06-11;buk;1;46
2022-06-11;sosna;1;59
2022-06-11;akacja;2;68
2022-06-12;buk;1;52
2022-06-12;sosna;2;36
2022-06-18;akacja;2;11
2022-06-18;sosna;1;66
2022-06-18;buk;2;10
2022-06-19;sosna;2;56
2022-06-19;buk;1;32
2022-06-19;sosna;1;7
2022-06-19;buk;2;62
2022-06-25;akacja;1;9
2022-06-25;buk;1;60
2022-06-25;sosna;1;29
2022-06-26;akacja;2;7
2022-06-26;buk;2;19
2022-06-26;buk;1;15
